zcr,energy,energy_entropy,spectral_centroid,spectral_spread,spectral_entropy,spectral_flux,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,chroma_std,Gender
0.188644897,0.006580751,2.939290971,0.268953353,0.20506659,1.152986505,0.007070017,0.282537879,-28.51346571,1.184121217,-0.700795251,-0.395678175,-0.433405652,0.040341724,-0.249542903,-0.008190508,0.005646386,-0.003274172,-0.229868337,-0.115460732,-0.348885015,0.027482545,0.016990684,0.011268296,0.006372372,0.007267242,0.006709321,0.004970795,0.003745983,0.005314908,0.022524802,0.024635609,0.016085907,0.022023629,female
0.165761447,0.010675633,2.867234984,0.244534309,0.209663218,1.266908041,0.006039312,0.283561321,-27.44304213,1.236330615,-0.962847611,-0.295330482,-0.377709446,0.164191768,-0.29479802,-0.077643519,0.024157527,-0.111142359,-0.220358438,-0.1464913,-0.427637656,0.019852455,0.012894215,0.01554099,0.010237907,0.00728106,0.010077051,0.011403257,0.005137359,0.008250954,0.02083307,0.023387983,0.021491822,0.02190858,female
0.18860363,0.013685026,2.765283839,0.263569093,0.221626857,1.184805919,0.006301623,0.284222798,-27.5874161,1.43946793,-0.640669046,-0.290860949,-0.421991248,0.091754728,-0.043405288,-0.073571303,0.048043322,-0.184362921,-0.273770117,-0.168757945,-0.378410811,0.02547156,0.01733647,0.023033711,0.010353943,0.007079567,0.011895559,0.009620361,0.004345018,0.004788702,0.009062911,0.026852531,0.009909195,0.02077476,female
0.230300375,0.019369696,2.927833573,0.295318026,0.22182431,1.347562469,0.005862446,0.361775,-26.76493045,1.124290252,-0.709210664,-0.35880196,-0.401753279,0.192949135,-0.194502011,-0.081613924,-0.000449906,-0.175127654,-0.218528538,-0.087810787,-0.368710794,0.017128848,0.008872443,0.018840106,0.013647325,0.008831481,0.010420954,0.007721046,0.003999096,0.003769949,0.011222102,0.021637697,0.013907658,0.016335615,female
0.251992622,0.008589023,2.680663894,0.320734837,0.236082206,1.432240148,0.005925923,0.383144737,-28.56748267,1.130270138,-0.512988288,-0.425292706,-0.221837287,0.110075639,-0.14168635,-0.075384641,-0.077091456,-0.121147531,-0.221644809,-0.137185357,-0.404179079,0.023665188,0.008199037,0.020964995,0.008735902,0.008378388,0.007789012,0.016406602,0.008805144,0.005704748,0.010487598,0.020154567,0.012090648,0.018626288,female
0.192656686,0.01147722,2.671127831,0.260046167,0.213455071,1.261782119,0.00656487,0.285769231,-27.83459181,1.340377229,-1.206383343,0.009706889,-0.268076946,-0.126987874,-0.07403935,-0.122984428,-0.102310277,-0.115898502,-0.250045749,-0.063322591,-0.280657235,0.02753414,0.006078947,0.012623244,0.014580751,0.00943222,0.012927271,0.014670785,0.006052908,0.005268294,0.007607231,0.027697051,0.013558522,0.018767191,female
0.221994665,0.012726319,2.731917088,0.294926713,0.226669957,1.267399809,0.006485622,0.320479798,-27.58400656,1.215049272,-0.253441925,-0.451656855,-0.441733038,0.191396956,-0.173115185,0.065056901,0.008366412,-0.177275995,-0.204285112,-0.132603309,-0.310708772,0.025781659,0.00611325,0.020155223,0.017079868,0.008481086,0.006737553,0.00711328,0.002616385,0.006971922,0.011023274,0.027416829,0.014845348,0.020000184,female
0.246037636,0.012158672,2.841044415,0.317926061,0.229359302,1.582294057,0.005451328,0.416637168,-28.6813136,1.059894159,-0.833011186,-0.298478407,-0.207843885,0.125240256,-0.084807009,-0.003828099,-0.095966486,-0.153356095,-0.176420079,-0.099994174,-0.234291132,0.012861075,0.00510373,0.012552521,0.012220819,0.008468109,0.010421232,0.010934714,0.00785594,0.004242739,0.010515527,0.023316796,0.009499724,0.014734635,female
0.196653584,0.012776921,2.918020712,0.284624461,0.208491242,1.390498001,0.005138738,0.34381068,-27.87327828,0.918215972,-0.801550091,-0.308141569,-0.495250577,0.171743045,-0.173430276,-0.059754539,-0.011903545,-0.050877889,-0.165912212,-0.069401269,-0.307037251,0.017079055,0.006820532,0.012462611,0.009492229,0.00896079,0.017564289,0.015547152,0.003824962,0.003881656,0.009292607,0.027002556,0.021206376,0.020337158,female
0.187025448,0.005561336,2.582558511,0.27420332,0.224519435,1.313516943,0.00719351,0.2929375,-28.94040307,1.272397037,-0.564514602,-0.399158888,-0.301912671,0.084912987,-0.238640667,-0.00468068,-0.046105351,-0.100300547,-0.166261571,-0.198616663,-0.396017095,0.035106354,0.011799121,0.017045479,0.007718316,0.006523076,0.006629462,0.012551952,0.007429308,0.006440324,0.00851516,0.020860336,0.019847352,0.019462584,female
0.177847309,0.013655724,2.83794533,0.258980817,0.219422832,1.139388599,0.007685878,0.260865385,-27.68883927,1.632277613,-0.742941826,-0.425652519,-0.149751567,-0.063222942,-0.261195006,-0.051657491,-0.033539052,0.001355076,-0.143146093,-0.11980624,-0.309146024,0.023769811,0.010453832,0.014116838,0.008479782,0.006485931,0.005941737,0.006208313,0.002726115,0.006486306,0.01808322,0.037541265,0.019819256,0.021632105,female
0.16493389,0.023366724,2.736907817,0.244891834,0.220796827,1.16230662,0.005901861,0.25210396,-26.72299204,1.511804876,-0.95053998,-0.440736934,-0.141187541,0.238918999,-0.26785789,-0.118248952,0.027692588,-0.125103824,-0.096859415,-0.082747701,-0.329916174,0.016513376,0.00833094,0.014330276,0.006921345,0.008048298,0.0156203,0.016939511,0.006676864,0.009065755,0.015772169,0.027951173,0.015330384,0.01943647,female
0.191069256,0.008023895,2.835909995,0.280671,0.230573993,1.142249595,0.00648344,0.286835664,-27.91591424,1.626499116,-0.587424954,-0.462585557,-0.132835192,0.195813893,-0.295262863,-0.054854516,-0.085315337,-0.143668052,-0.120875416,-0.12026744,-0.325632687,0.029512317,0.008846516,0.013577244,0.009141242,0.011119898,0.008943502,0.017434015,0.003937205,0.004153085,0.020824522,0.027909761,0.010409037,0.021585396,female
0.187659574,0.01742517,2.781376908,0.273020681,0.232339052,1.30819242,0.006323039,0.316475,-27.48430984,1.424563711,-0.500439236,-0.462182518,-0.052541726,-0.02398829,-0.200395847,-0.019849426,-0.228274079,-0.008489475,-0.24751694,-0.167815071,-0.374951788,0.026210912,0.018649746,0.028166125,0.011355755,0.011099912,0.009487062,0.019307277,0.005931568,0.006407519,0.01171199,0.015784599,0.00744474,0.021383783,female
0.174901166,0.018199878,2.726429306,0.236604866,0.212902767,1.150732044,0.008073202,0.249404762,-27.61158756,1.5123092,-1.368212054,-0.301414304,-0.17906267,0.105897053,-0.142721241,-0.255758663,0.120366846,-0.018293112,-0.170309076,-0.091236402,-0.36235304,0.018790913,0.011293518,0.012110183,0.006953364,0.007965893,0.008494611,0.009252431,0.00396087,0.018377147,0.014393428,0.020349741,0.021987537,0.01832343,female
